Timestamp,Latitude,Longitude,Velocity
2024-07-10 01:01:51,49.158423,-122.83306,
2024-07-10 01:01:52,49.158423,-122.83306,
2024-07-10 01:01:53,49.158423,-122.83306,
2024-07-10 01:01:54,49.158423,-122.83306,
2024-07-10 01:01:55,49.158423,-122.83306,
2024-07-10 01:01:56,49.158423,-122.83306,
2024-07-10 01:01:57,49.158423,-122.83306,
2024-07-10 01:01:58,49.158423,-122.83306,1.06
2024-07-10 01:01:59,49.158423,-122.83306,1.06
2024-07-10 01:02:00,49.158423,-122.83306,1.06
2024-07-10 01:02:01,49.158423,-122.83306,1.06
2024-07-10 01:02:02,49.158431,-122.833053,1.06
2024-07-10 01:02:03,49.158431,-122.833053,1.06
2024-07-10 01:02:04,49.158431,-122.833053,1.06
2024-07-10 01:02:05,49.158431,-122.833053,1.06
2024-07-10 01:02:06,49.158431,-122.833053,1.06
2024-07-10 01:02:07,49.158431,-122.833053,1.06
2024-07-10 01:02:08,49.158431,-122.833053,1.06
2024-07-10 01:02:09,49.158431,-122.833053,1.1
2024-07-10 01:02:10,49.158431,-122.833053,1.1
2024-07-10 01:02:11,49.158431,-122.833053,1.1
2024-07-10 01:02:12,49.158431,-122.833053,1.1
2024-07-10 01:02:13,49.158438,-122.833046,1.1
2024-07-10 01:02:14,49.158438,-122.833046,1.1
2024-07-10 01:02:15,49.158438,-122.833046,1.1
2024-07-10 01:02:17,49.158438,-122.833046,1.1
2024-07-10 01:02:18,49.158438,-122.833046,1.1
2024-07-10 01:02:19,49.158438,-122.833046,1.1
2024-07-10 01:02:20,49.158438,-122.833046,1.1
2024-07-10 01:02:21,49.158438,-122.833046,1.12
2024-07-10 01:02:22,49.158438,-122.833046,1.12
2024-07-10 01:02:23,49.158438,-122.833046,1.12
2024-07-10 01:02:24,49.158438,-122.833046,1.12
2024-07-10 01:02:25,49.158445,-122.833041,1.12
2024-07-10 01:02:26,49.158445,-122.833041,1.12
2024-07-10 01:02:27,49.158445,-122.833041,1.12
2024-07-10 01:02:28,49.158445,-122.833041,1.12
2024-07-10 01:02:29,49.158445,-122.833041,1.12
